INFO  - 2014-10-01 16:42:59.749; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:43:09.577; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1412206989780&wt=json} status=0 QTime=35 
INFO  - 2014-10-01 16:44:15.543; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:44:15.545; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/opt/solr-4.7.2/ihs/solr-webapp/webapp/},/opt/solr-4.7.2/ihs/webapps/solr.war
INFO  - 2014-10-01 16:44:16.547; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1358196854
INFO  - 2014-10-01 16:44:16.557; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/opt/solr-4.7.2/ihs/solr-webapp/webapp/},/opt/solr-4.7.2/ihs/webapps/solr.war
INFO  - 2014-10-01 16:44:46.413; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-10-01 16:44:46.446; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /opt/solr-4.7.2/ihs/contexts at interval 0
INFO  - 2014-10-01 16:44:46.452; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /opt/solr-4.7.2/ihs/contexts/solr-jetty-context.xml
INFO  - 2014-10-01 16:44:47.406; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-10-01 16:44:47.473; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-10-01 16:44:47.495; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-10-01 16:44:47.496; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-10-01 16:44:47.497; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-10-01 16:44:47.634; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr-4.7.2/ihs/solr/solr.xml
INFO  - 2014-10-01 16:44:47.745; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /opt/solr-4.7.2/ihs/solr
INFO  - 2014-10-01 16:44:47.754; org.apache.solr.core.CoreContainer; New CoreContainer 1648149325
INFO  - 2014-10-01 16:44:47.755; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-10-01 16:44:47.768; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-10-01 16:44:47.769; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-10-01 16:44:47.773; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-10-01 16:44:47.773; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-10-01 16:44:47.776; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-10-01 16:44:47.776; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-10-01 16:44:47.776; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-10-01 16:44:47.777; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-10-01 16:44:47.777; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-10-01 16:44:47.890; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-10-01 16:44:47.891; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-10-01 16:44:47.892; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-10-01 16:44:47.937; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /opt/solr-4.7.2/ihs/solr
INFO  - 2014-10-01 16:44:47.939; org.apache.solr.core.CorePropertiesLocator; Found 0 core definitions
INFO  - 2014-10-01 16:44:47.940; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/opt/solr-4.7.2/ihs
INFO  - 2014-10-01 16:44:47.941; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-10-01 16:44:47.970; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:44:56.750; org.apache.solr.core.CoreContainer; Creating SolrCore 'ihs' using instanceDir: /opt/solr/ihs/solr/ihscollection
INFO  - 2014-10-01 16:44:56.751; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/ihs/solr/ihscollection/'
INFO  - 2014-10-01 16:44:56.892; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-10-01 16:44:56.904; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2014-10-01 16:44:56.905; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-10-01 16:44:56.906; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-10-01 16:44:56.907; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-10-01 16:44:56.908; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-10-01 16:44:56.908; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-10-01 16:44:56.909; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2014-10-01 16:44:56.910; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-10-01 16:44:56.911; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-10-01 16:44:56.912; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-10-01 16:44:56.912; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-10-01 16:44:56.913; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/extraction/lib/tika-core-1.4.jar' to classloader
